(to) apply for a job	- обратиться за работой
are you kidding me?	- ты что, шутишь?
as a result	- в результате, как результат
(to) assemble	- собирать
at his buddy's	- у его приятеля дома
(to) baby-sit, baby-sat, baby-sat 	- нянчить, сидеть с детьми
(to) back into	- сдавать назад автомобилем (в узкое место)
beauty salon	- салон красоты
bench	- скамейка
best friend	- лучший друг
break	- перерыв
(to) borrow	- брать в долг
brilliant	- блестящий, потрясающий
buddy	- приятель
by	- рядом с, неподалеку
campus	- студенческий городок
canned food	- консервы
(to) catch, caught, caught	- поймать, сесть на (транспорт)
clueless	- без понятия
clumsy	- неуклюжий
cocktail dress	- коктейльное платье
(to) cough	- кашлять
(to) crash	- сломаться (про технику)
(to) crash	- завалиться спать
(to) date	- встречаться с (в романтическом смысле)
(to) daydream	- замечтаться
deadline	- крайний срок
(to) disappear	- исчезать
English-speaking	- англоговорящий
expired	- с истекшим сроком годности
favor	- одолжение
final	- окончательный, финальный
flat tire	- спущенная шина
flea market	- блошиный рынок
flight	- рейс
(to) fly out of	- вылетать из
full of roses	- полный роз
garden	-сад
(to) get a flat tire	- пробить колесо
 (to) get a tan	- загорать
(to) get rid of	- избавиться от
mall	- торговый центр
maternity leave	- декретный отпуск
minivan	- фургон
model	- модель
(to) move up	- сместить на более поздний срок
(to) negotiate	- вести переговоры
on a break	- быть на перерыве, пере¬мене
on a business trip	- в командировке
on one's way	- по пути
online	- онлайн, в интернете
(to) order	- заказывать
out of town	- за городом
out on a date	- на свидании
(to) own	- владеть, иметь
parking spot	- место для парковки
performance	- представление, исполнение
pizza	- пицца
poker	- покер
pool	- бассейн
(to) rehearse	- репетировать
(to) relax	- расслабиться
(to) give a pep talk	- провести ободряющую беседу
 (to) go on a diet	- сесть на диету
grocery store	- продуктовый магазин
hamster	- хомяк
(to) hand in	- сдавать
(to) hangout	- тусоваться
 (to) have an eye-to-eye talk	- разговаривать с глазу на глаз
 (to) hate	- ненавидеть
he can't be in ...	- он не может быть в ...
(to) hook up	- подключать
I am clueless then	- тогда, я без понятия
I don't think so	- я так не думаю
I have no idea then	- тогда, я не имею ни малейшего представления
I have something to talk	- мне нужно с ним кое о чем по¬
to him about	говорить
I give up then	- тогда, я сдаюсь
important date	- важная дата
impossible	- невозможный
(to) improve	- улучшать
in general	- в общем
in the middle of	- в середине
(to) inconvenience	- доставлять неудобства
(to) knit	- вязать
(to) knock	- стучать
lake	- озеро
(to) lend	- давать в долг
lonely	- одинокий
(to) lose, lost, lost	- терять
(to) lose weight	- похудеть
(to) make (money)	- зарабатывать
resume	- резюме
(to) run around	- бегать туда-сюда
school play	- школьный спектакль
seaside	- побережье
(to) set up	- установить, настроить
(to) shop for	- ходить по магазинам в по¬исках чего-либо
(to) sneeze	- чихать
snowboarding	- езда на сноуборде
soccer game	- футбольный матч
sold out	- распроданный
stage	- сцена
(to) stop by	- зайти
strange	- странный
(to) stroll along	- прогуляться по
style	- стиль
(to) surprise	- сделать сюрприз, удивлять
sweater	- свитер
(to) take dance lessons	- брать уроки танцев
 (to) take to the vet	- отвезти, отнести к ветери¬нару
term paper	- курсовая работа
therefore	- следовательно
this doesn’t sound like fun	- это не кажется веселым
trainee	- стажер
(to) try again	- повторить попытку
unemployed	- безработный
vet	- ветеринар
(to) wait tables	- обслуживать столы
(to) wander around	- бродить по
where did ... go?	- куда пропал ...?
(to) work around the house	- работать по дому
(to) work overtime	- работать сверхурочно
