(to) accept	- принимать
agitated	- взволнованный
another	- другой, не последний
(to) apply for	- подавать заявку на
archaeologist	- археолог
as matter of fact	- на самом деле
assistant manager	- помощник управляющего
(to) award	- награждать
bill	- счет
by	- путем, посредством, при помощи
cartoon	- карикатура
casserole	- запеканка
change	- перемена, изменение
cheerful	- веселый
colorful	- красочный
complaint	- жалоба
(to) compose	- сочинять, составлять
corn	- кукуруза
corrected	- исправленный
customer	- клиент, покупатель
(to) deal with	- иметь дело с
delay	- задержка, отсрочка
delicious	- вкусный
delighted	- восхищенный
(to) deliver	- доставлять
department	- отдел
devastated	- опустошенный
(to) develop	- разрабатывать
dinosaur	- динозавр
(to) direct	- режиссировать
disappointed	- разочарованный
(to) design	- проектировать
distraught	- обезумевший
distressed	- в состоянии стресса
(to) draw, drew, drawn - рисовать, чертить
ecstatic	- в экстазе, восторженный
elated	- в приподнятом настроении
(to) elect	- выбирать
elegant	- элегантный
employee of the month	- работник месяца
excellent	- отлично
extremely	- чрезвычайно
fascinating	- очаровательный
(to) figure out	- выяснить
fine	- великолепно
(to) flood	- затопить
great	- отлично
(to) grow, grew, grown - выращивать
(to) handle	- справляться
heart-broken	- с разбитым сердцем
(to) hire	- нанимать, боать на работу
impressive	- впечатляющий
information technology	- информационные технологии
(to) invent	- изобрести
invention	- изобретение
irritated	- раздраженный
just	- просто, всего лишь
magnificent	- великолепный
mailman	- почтальон
medical school	- медицинская школа
miserable	- несчастный
misunderstanding	- недоразумение
mural	- фреска
Nobel Prize	- Нобелевская премия
overseas	- за границей
parking ticket	- штраф за неправильную парковку
part	- часть, запасная деталь
(to) participate	- принимать участие
Physics	- физика
pleased	- радостный, довольный
position	- должность
press release	- пресс-релиз
(to) promote	- повышать по службе
(to) promote to	- повышать до
(to) provide with	- обеспечить чем-либо
purse	- женская сумочка
(to) reject	- отклонить
(to) run over	- переехать, сбить
scary	- жуткий, страшный
scholarship	- стипендия
(to) seem	- казаться
(to) send out	- отправить
 (to)serve	- подавать на стол
(to) shut down	- закрыть навсегда
skeleton	- скелет
software	- программное обеспечение
sonata	- соната
statistics	- статистика
(to) steal, stole, stolen	- красть, воровать
subway	- метро
super	- супер
supervisor	- руководитель
terrific!	- потрясающе!
that's a pity!	- какая жалость!
that's a shame!	- какая досада!
that's exciting!	- это волнующе!
that's fantastic!	- это невероятно!
that's marvelous!	- это прекрасно!
that's terrible!	-это ужасно!
that's too bad!	- это очень плохо!
(to) hit, hit, hit	- ударять
honor	- честь
how are things with you?	- как у вас дела?
how are you doing?	- как у тебя дела?
how have you been?	- как поживаешь?
how's it going?	- как дела?
how's life treating you?	- как жизнь?
I'm not sure	- я не уверен
I'm sorry to hear about it	- мне жаль это слышать
I'm very happy to hear that	- я очень рад это слышать
that's wonderful!	- это чудесно!
thrilled	- взволнованный
(to) translate into	- перевести на
tuna	- тунец
uniform	- униформа
version	- версия
what a pity!	- какая жалость!
what a shame!	- какая досада!
wonderful!	- чудесно!
(to) wreck	- разбить полностью
