a couple of days ago, пару  дней назад
after, после
all day yesterday, весь день вчера
allergy, аллергия
ankle, лодыжка
appetizer, закуска
to arrive, прибывать
as you can see, как видите
to ask for seconds,  просить добавки
backache, боль в спине
because of, из-за чего-то
best friend, лучший друг
biker, байкер
birthday, день рождения
by the pool, возле бассейна
carpet, ковер
to celebrate, праздновать
to check, проверить
chicken soup, куриный суп
to climb, взбираться; карабкаться
cocktail, коктейль
coconut tree, кокосовое дерево
coffee machine, кофе-машина
comfortable, удобный
to cry, плакать
cupcake, кекс
to dance salsa, танцевать сальсу
to dance tango, танцевать танго
to decorate, украшать
dentist, зубной врач
during, в течении
earache, боль в ухе
to enjoy, наслаждаться; любить
exotic, экзотически
to feel;felt;felt, чувствовать; ощущать
to feel terrible, чувствовать себя ужасно
to finish college, заканчивать колледж
flower, цвток
food, еда
fracture, перелом; трещина
fresh, свежий
garden, сад
to google, искать в гугле
granola bar, зерновой батончик
group, группа
guests, гости
gym,тренажерный зал
hard, тяжелый; тяжело
to have a black eye, иметь синяк под глазом
headache, головная боль
hostel, отель
How did he get it?, Как он его получил
I’m sorry to hear that, Я сожалею
ice cream, мороженое
in fact, на самом деле
in the rain, в дождь
to invite, пригласить
 IT school, факультет программирования
jacket, куртка; пиджак
to jump, прыгать
to listen to,слушать что либо
manager, менеджер
meal, приготовленная еда; прием пищи
medicine, лекарство
nasal drops, капли для носа
to order, заказывать
to order a drink, заказать выпить
party games, игры для вечеринок
pill, таблетка
to plant, сеять; сажать
politics, политика
pop music,поп музыка
to prepare, готовиться
to present, представлять; преподносить
presentation, презентация
radio show, радио шоу
to receive a call, получить звонок
to relax, расслабляться; отдыхать
rock music, рок музыка
runny nose, сопливый нос
salad, салат
to see the dentist, посетить дантиста
to serve, накрывать на стол; подавать
to shout at, кричать на кого либо
to skype, разговаривать по скайпу
soccer match, матч по футболу
song, песня
sore throat, боль в горле
spaghetti, спагетти
speech, речь
to start, начинать
to stay, оставаться
to say in bed, оставаться в постели
stomachache, боль в животе
strawberries, клубника
strawberry topping, клубничное украшение десерта
sunglasses, солнечные очки
swollen, опухший
to take a shower, принимать душ
talk show, ток шоу
tan, загар
the flu, грипп
the other day, на днях; в прошлом
This will never happen again, Это больше никогда не повторится
tomatoes, помидоры
toothache, боль в зубе
to translate, переводить
to travel for business,  путешествие по работе
to vacuum, пылесосить
to visit, посещать; навещать
to wait for, ждать кого либо; чего либо
to walk, идти пешком; гулять
to wear;wore;worn, носить
weather, погода
What happened?, Что случилось?
What’s the matter?, В чем дело?
without, без
wonderful, чудесный прекрасный
to work from home, работать дома
to work out, заниматься на тренажерах
to yell at, кричать на кого-либо
