(to) baby-sit for	- нянчить, сидеть с ребенком(услуга для кого-то)
back door	- черный ход
(to) be stuck in traffic	- застрять в пробке
brand-new	; совершенно новый
(to) break, broke, broken	- ломаться, ломать
cabin	- домик на даче
can't stand	- не мочь терпеть
(to) change	- переодевать, поменять
chanson	- шансон
(to) charge	- заряжать
charger	- зарядное устройство
(to) continue	- продолжить
co-worker	; сотрудник
diaper	- подгузник
electric bill	- счет за электричество
enormous	- огромный
(to) extend	- продлить
(to) fill up	- заполнить, наполнить до¬верху
forest	-лес
(to) freeze, froze, frozen; заморозить
gas	- бензин
gas tank	- топливный бак
(to) gossip	- сплетничать
(to) graduate from	- закончить обучение в
green beans	- зеленая фасоль
grocery	- продуктовый, продукты
habit	- привычка
hair salon	- парикмахерская
(to) hate	- ненавидеть
(to) hide, hid, hidden	- спрятать
honeymoon	- медовый месяц
I forgot all about it	- Я совсем забыл про это.
impression	- впечатление
in line	- в очереди
in the country	- на даче
(to) injure	- повредить
(to) interrupt	- прерывать
junk food	- нездоровая пища
laptop, notebook; ноутбук, компьютер
leftover	- оставшийся
(to) lock	- запирать на ключ
lonely	- одинокий
luxurious	- роскошный
manicure	- маникюр
(to) move out	- съехать
nephew	- племянник
on one's own	- самостоятельно
on one's way somewhere	- по пути куда-то
one of us had better do it	- одному из нас лучше бы сделать это
one of us has to do it	- одному из нас лучше бы приступить к этому
pickup truck	- пикап, небольшой грузовик
(to) prefer	- предпочитать
rental agreement	- договор об аренде
roommate	- сосед по комнате
rude	- грубый
(to) run back and forth	- бегать вперед и назад
 (to) run out of money	- израсходовать все деньги
Same with me.	- И я также.
(to) set, set, set- накрывать
(to) show up for	- явиться на
since, because	; потому что
stairs	- лестница, ступеньки
subway	- метро
sunset	- закат
(to) switch	- переключиться
(to) take a selfie	- сделать селфи
(to) take the stairs	- подняться по лестнице
teacher-parent meeting	; родительское собрание
Thanksgiving table	- стол на День Благодарения
traffic	- движение на дороге
Uh-oh!	; Ой-ой!
unhealthy	- нездоровый
(to) unload	- разгружать
useless	- бесполезный
vehicle	- транспортное средство
